;name;age;height;weight;season
0;Dennis Rodman;36.0;198.12;99.79024;1996-97
1;Dwayne Schintzius;28.0;215.9;117.93392;1996-97
2;Earl Cureton;39.0;205.74;95.25432;1996-97
3;Ed OBannon;24.0;203.2;100.697424;1996-97
4;Ed Pinckney;34.0;205.74;108.86208;1996-97
5;Eddie Johnson;38.0;200.66;97.52228000000001;1996-97
6;Eddie Jones;25.0;198.12;86.18248;1996-97
7;Elden Campbell;28.0;213.36;113.398;1996-97
8;Eldridge Recasner;29.0;193.04;86.18248;1996-97
9;Elliot Perry;28.0;182.88;72.57472;1996-97
10;Elmer Bennett;27.0;182.88;77.11064;1996-97
11;Elmore Spencer;27.0;213.36;122.46983999999999;1996-97
12;Emanual Davis;28.0;195.58;87.996848;1996-97
13;Ennis Whatley;34.0;190.5;80.28578399999998;1996-97
14;Eric Leckner;31.0;210.82;120.20188;1996-97
15;Eric Mobley;27.0;210.82;106.59411999999999;1996-97
16;Eric Montross;25.0;213.36;122.46983999999999;1996-97
17;Eric Murdock;29.0;185.42;86.18248;1996-97
18;Eric Piatkowski;26.0;200.66;97.52228000000001;1996-97
19;Eric Snow;24.0;190.5;90.7184;1996-97
20;Eric Williams;24.0;203.2;99.79024;1996-97
21;Erick Dampier;21.0;210.82;120.20188;1996-97
22;Erick Strickland;23.0;190.5;95.25432;1996-97
23;Ervin Johnson;29.0;210.82;111.13004;1996-97
24;Duane Ferrell;32.0;200.66;97.52228000000001;1996-97
25;Duane Causwell;29.0;213.36;108.86208;1996-97
26;Doug West;30.0;198.12;99.79024;1996-97
27;Doug Overton;27.0;190.5;86.18248;1996-97
28;Dell Demps;27.0;190.5;92.98635999999999;1996-97
29;Dennis Scott;28.0;203.2;106.59411999999999;1996-97
30;Derek Fisher;22.0;185.42;90.7184;1996-97
31;Derek Harper;35.0;193.04;93.439952;1996-97
32;Derek Strong;29.0;205.74;108.86208;1996-97
33;Derrick Alston;24.0;210.82;102.0582;1996-97
34;Derrick Coleman;30.0;208.28;117.93392;1996-97
35;Derrick McKey;30.0;205.74;92.98635999999999;1996-97
36;Detlef Schrempf;34.0;208.28;106.59411999999999;1996-97
37;Devin Gray;25.0;200.66;108.86208;1996-97
38;Dexter Boney;27.0;193.04;83.91452;1996-97
39;Evric Gray;27.0;200.66;106.59411999999999;1996-97
40;Dickey Simpkins;25.0;205.74;112.490816;1996-97
41;Dino Radja;30.0;210.82;102.0582;1996-97
42;Dominique Wilkins;37.0;203.2;104.32616;1996-97
43;Don MacLean;27.0;208.28;106.59411999999999;1996-97
44;Don Reid;23.0;203.2;113.398;1996-97
45;Donald Royal;31.0;203.2;98.88305600000001;1996-97
46;Donald Whiteside;28.0;177.8;72.57472;1996-97
47;Donnie Boyce;23.0;195.58;88.904032;1996-97
48;Donny Marshall;24.0;200.66;104.32616;1996-97
49;Dontonio Wingfield;23.0;203.2;116.119552;1996-97
50;Donyell Marshall;24.0;205.74;104.32616;1996-97
51;Doug Christie;27.0;198.12;92.98635999999999;1996-97
52;Dikembe Mutombo;31.0;218.44;113.398;1996-97
53;Dell Curry;33.0;195.58;92.98635999999999;1996-97
54;Felton Spencer;29.0;213.36;127.00576000000001;1996-97
55;Frankie King;25.0;185.42;83.91452;1996-97
56;Horacio Llamas;23.0;210.82;129.27372;1996-97
57;Hot Rod Williams;34.0;210.82;111.13004;1996-97
58;Howard Eisley;24.0;187.96;80.28578399999998;1996-97
59;Hubert Davis;27.0;195.58;83.007336;1996-97
60;Ike Austin;27.0;208.28;122.46983999999999;1996-97
61;Isaiah Rider;26.0;195.58;97.52228000000001;1996-97
62;Ivano Newbill;26.0;208.28;111.13004;1996-97
63;Jack Haley;33.0;208.28;109.769264;1996-97
64;Jalen Rose;24.0;203.2;95.25432;1996-97
65;Jamal Mashburn;24.0;203.2;113.398;1996-97
66;James Robinson;26.0;187.96;81.64656;1996-97
67;James Scott;25.0;198.12;81.64656;1996-97
68;Jamie Feick;22.0;203.2;115.66596000000001;1996-97
69;Jamie Watson;25.0;200.66;86.18248;1996-97
70;Jaren Jackson;29.0;198.12;95.25432;1996-97
71;Jason Caffey;24.0;203.2;116.119552;1996-97
72;Jason Kidd;24.0;193.04;94.34713599999999;1996-97
73;Jason Sasser;23.0;200.66;102.0582;1996-97
74;Jayson Williams;29.0;205.74;108.86208;1996-97
75;Jeff Grayer;31.0;195.58;95.25432;1996-97
76;Jeff Hornacek;34.0;193.04;86.18248;1996-97
77;Jeff McInnis;22.0;193.04;86.18248;1996-97
78;Jermaine ONeal;18.0;210.82;102.511792;1996-97
79;Horace Grant;31.0;208.28;111.13004;1996-97
80;Hersey Hawkins;30.0;190.5;86.18248;1996-97
81;Herb Williams;39.0;210.82;117.93392;1996-97
82;Henry James;31.0;203.2;99.79024;1996-97
83;Fred Roberts;36.0;208.28;98.88305600000001;1996-97
84;Gary Grant;32.0;190.5;83.91452;1996-97
85;Gary Payton;28.0;193.04;86.18248;1996-97
86;Gary Trent;22.0;203.2;113.398;1996-97
87;Gaylon Nickerson;28.0;190.5;86.18248;1996-97
88;George Lynch;26.0;203.2;103.418976;1996-97
89;George McCloud;30.0;203.2;102.0582;1996-97
90;George Zidek;23.0;213.36;119.74828799999999;1996-97
91;Gerald Wilkins;33.0;198.12;102.0582;1996-97
92;Gheorghe Muresan;26.0;231.14;137.438376;1996-97
93;Glen Rice;30.0;203.2;99.79024;1996-97
94;Frank Brickowski;37.0;205.74;108.86208;1996-97
95;Glenn Robinson;24.0;200.66;106.59411999999999;1996-97
96;Grant Long;31.0;205.74;112.490816;1996-97
97;Greg Anderson;33.0;208.28;113.398;1996-97
98;Greg Anthony;29.0;185.42;81.64656;1996-97
99;Greg Dreiling;33.0;215.9;120.20188;1996-97
100;Greg Foster;28.0;210.82;113.398;1996-97
101;Greg Graham;26.0;193.04;82.553744;1996-97
102;Greg Minor;25.0;198.12;95.25432;1996-97
103;Greg Ostertag;24.0;218.44;127.00576000000001;1996-97
104;Hakeem Olajuwon;34.0;213.36;115.66596000000001;1996-97
105;Harvey Grant;31.0;205.74;102.0582;1996-97
106;Haywoode Workman;31.0;187.96;81.64656;1996-97
107;Grant Hill;24.0;203.2;102.0582;1996-97
108;Dee Brown;28.0;187.96;87.089664;1996-97
109;Dean Garrett;30.0;210.82;113.398;1996-97
110;David Wood;32.0;205.74;104.32616;1996-97
111;Ashraf Amaya;25.0;203.2;104.32616;1996-97
112;Avery Johnson;32.0;180.34;81.64656;1996-97
113;B.J. Armstrong;29.0;187.96;79.3786;1996-97
114;Ben Davis;24.0;205.74;108.86208;1996-97
115;Ben Wallace;22.0;205.74;108.86208;1996-97
116;Benoit Benjamin;32.0;213.36;113.398;1996-97
117;Bill Wennington;34.0;213.36;111.13004;1996-97
118;Billy Owens;28.0;205.74;102.0582;1996-97
119;Bimbo Coles;29.0;187.96;82.553744;1996-97
120;Bison Dele;28.0;210.82;117.93392;1996-97
121;Blue Edwards;31.0;193.04;103.418976;1996-97
122;Bo Outlaw;26.0;203.2;95.25432;1996-97
123;Bob Sura;24.0;195.58;90.7184;1996-97
124;Bobby Hurley;26.0;182.88;74.84268;1996-97
